"lang"
{
	"Language"		"English"
"DOTA_Tooltip_ability_travaler_fury"							"Travaler Fury"
"DOTA_Tooltip_ability_travaler_fury_Description"				"Bosses instantly kill all of the illusions that trying to attack him.\nWhen health of the travaler will descend lower 50 percent boss gets 650 attack, 250 attack speed, BAT 0.7, true strike.\nWhen health of the travaler will descend lower 25 percent boss get 45 percent resist to all attacks."

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\bosses\traveler.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\!empty.txt' begin 

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\!empty.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\enigma.txt' begin 
"npc_eidolon_1" "Enigma Eidelon"
"npc_eidolon_2" "Enigma Eidelon"
"npc_eidolon_3" "Enigma Eidelon"
"npc_eidolon_4" "Enigma Eidelon"
"npc_eidolon_5" "Enigma Eidelon"
"npc_eidolon_6" "Enigma Eidelon"
"npc_eidolon_7" "Enigma Eidelon"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\enigma.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\lycan.txt' begin 
"npc_dota_lycan_wolf5"												"Lycan Wolf"
"npc_dota_lycan_wolf6"												"Lycan Wolf"
"npc_dota_lycan_wolf7"												"Lycan Wolf"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\lycan.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\pet_hulk.txt' begin 
"npc_aa_ancient_hulk"												"Ancient Hulk"

"DOTA_Tooltip_ability_pet_ancient_hulk_hammer"						"Hulk hammer"
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer_Description"			"Throw a Hammer of Might at the targeted unit, stunning every enemy within the radius. Can be dodged."
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer_bolt_stun_duration"	"STUN:"
"DOTA_Tooltip_ability_pet_ancient_hulk_hammer_bolt_aoe"				"RADIUS:"
"DOTA_Tooltip_modifier_pet_hammer_stun"								"STUNNED"

"DOTA_Tooltip_ability_pet_ancient_hulk_blink"						"Blink"
"DOTA_Tooltip_ability_pet_ancient_hulk_blink_Description"			"Short distance teleportation that allows the pet to move in and out of combat."
"DOTA_Tooltip_ability_pet_ancient_hulk_blink_blink_range"			"RANGE:"

"DOTA_Tooltip_ability_pet_ancient_hulk_invis"						"Shadow Hulk"
"DOTA_Tooltip_ability_pet_ancient_hulk_invis_Description"			"Grants invisibility and increased movespeed."
"DOTA_Tooltip_ability_pet_ancient_hulk_invis_duration"				"DURATION:"
"DOTA_Tooltip_ability_pet_ancient_hulk_invis_bonus_movespeed"		"%MOVE SPEED:"
"DOTA_Tooltip_modifier_pet_hulk_invis"								"INVISIBLE"

"DOTA_Tooltip_ability_pet_ancient_hulk_desolation"					"Hulk Desolation"
"DOTA_Tooltip_ability_pet_ancient_hulk_desolation_Description"		"Attacks reduce the target's armor."
"DOTA_Tooltip_ability_pet_ancient_hulk_desolation_bonus_armor"		"ARMOR:"
"DOTA_Tooltip_ability_pet_ancient_hulk_desolation_duration"			"DURATION:"

"DOTA_Tooltip_modifier_pet_ah_disarmor"								"ARMOR REDUCED"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\pet_hulk.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\pet_mage.txt' begin 
"npc_aa_ancient_mage"													"Ancient Mage"

"DOTA_Tooltip_ability_pet_ancient_mage_silence"							"Silence"
"DOTA_Tooltip_ability_pet_ancient_mage_silence_Description"				"Slow and silence the enemy. The target also takes more damage."
"DOTA_Tooltip_ability_pet_ancient_mage_silence_slow_percent"			"%SLOW:"
"DOTA_Tooltip_ability_pet_ancient_mage_silence_duration"				"DURATION:"
"DOTA_Tooltip_ability_pet_ancient_mage_silence_bonus_take_damage"		"%DAMAGE INCREASED:"
"DOTA_Tooltip_modifier_pet_ancient_mage_silence"						"Silenced"

"DOTA_Tooltip_ability_pet_ancient_mage_astral"							"Astral"
"DOTA_Tooltip_ability_pet_ancient_mage_astral_Description"				"A powerful banishing spell that slows a unit and renders it unable to attack or be attacked. Afflicted units take extra magic damage."
"DOTA_Tooltip_ability_pet_ancient_mage_astral_bonus_spell_damage_pct"	"%MAGIC DAMAGE INCREASED:"
"DOTA_Tooltip_ability_pet_ancient_mage_astral_bonus_movement_speed"		"%SLOW:"
"DOTA_Tooltip_ability_pet_ancient_mage_astral_duration"					"DURATION:"
"DOTA_Tooltip_modifier_pet_ancient_mage_astral"							"BANISHED"

"DOTA_Tooltip_ability_pet_ancient_mage_heal"							"Ancient Powers"
"DOTA_Tooltip_ability_pet_ancient_mage_heal_Description"				"Heal a friendly target."
"DOTA_Tooltip_ability_pet_ancient_mage_heal_heal"						"HEAL:"
"DOTA_Tooltip_ability_pet_ancient_mage_heal_heal_pct"					"%MAX HP HEAL:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\pet_mage.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\pet_wolf.txt' begin 
"npc_aa_ancient_wolf"											"Ancient Wolf"

"DOTA_Tooltip_ability_pet_ancient_wolf_vampire"					"Vampire Wolf"
"DOTA_Tooltip_ability_pet_ancient_wolf_vampire_Description"		"Grants a vampire aura in a radius of 900 units."
"DOTA_Tooltip_ability_pet_ancient_wolf_vampire_lifesteal"		"%VAMPIRE:"
"DOTA_Tooltip_modifier_wolf_vampire"							"Vampire"

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\pet_wolf.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\venomancer.txt' begin 
"npc_dota_venomancer_plague_ward_5"									"Plague Ward"
"npc_dota_venomancer_plague_ward_6"									"Plague Ward"
"npc_dota_venomancer_plague_ward_7"									"Plague Ward"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\venomancer.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\warlock.txt' begin 
"npc_dota_warlock_golem_4"											"Warlock Golem"
"npc_dota_warlock_golem_5"											"Warlock Golem"
"npc_dota_warlock_golem_6"											"Warlock Golem"
"npc_dota_warlock_golem_7"											"Warlock Golem"
"npc_dota_warlock_golem_scepter_4"									"Warlock Golem"
"npc_dota_warlock_golem_scepter_5"									"Warlock Golem"
"npc_dota_warlock_golem_scepter_6"									"Warlock Golem"
"npc_dota_warlock_golem_scepter_7"									"Warlock Golem"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\creeps\warlock.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\!empty.txt' begin 

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\!empty.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\abaddon.txt' begin 
"DOTA_Tooltip_ability_abaddon_death_coil_percent"					"%DAMAGE/HEAL FROM STR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\abaddon.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\ancient_apparation.txt' begin 
"DOTA_Tooltip_ability_ancient_apparition_cold_feet_damage_pct"			"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\ancient_apparation.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\axe.txt' begin 
"DOTA_Tooltip_ability_axe_counter_helix_Description"				"When attacked, Axe performs a helix counter attack, dealing damage to all nearby enemies. This ability applies base attack damage to every units that it hits.\nPassively increases the base attack damage of Axe."
"DOTA_Tooltip_ability_axe_battle_hunger_damage_pct"					"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_axe_culling_blade_hp_limit"					"%HP THRESHOLD:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\axe.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\bane.txt' begin 
"DOTA_Tooltip_ability_bane_brain_sap_brain_sap_heal_pct"			"%DAMAGE/HEAL FROM INTELLECT:"
"DOTA_Tooltip_ability_bane_enfeeble_damage_decrease"						"%DAMAGE DECREASING:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\bane.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\beastmaster.txt' begin 
"DOTA_Tooltip_ability_beastmaster_primal_roar_damage_pct"			"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_beastmaster_wild_axes_damage_pct"				"%DAMAGE FROM STR(MAGICAL):"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\beastmaster.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\bounty_hunter.txt' begin 
"DOTA_Tooltip_ability_bounty_hunter_shuriken_toss_damage_pct"		"%DAMAGE FROM AGI:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\bounty_hunter.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\brewmaster.txt' begin 
"DOTA_Tooltip_ability_brewmaster_earth_hurl_boulder_damage_pct"				"%DAMAGE OF MAX HEALTH:"
"DOTA_Tooltip_ability_brewmaster_fire_permanent_immolation_damage_pct"		"%DAMAGE OF MAX HEALTH:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\brewmaster.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\bristleback.txt' begin 
"DOTA_Tooltip_ability_bristleback_quill_spray_damage_by_str"		"MULTIPLER BY STRENGTH:"
"DOTA_Tooltip_ability_bristleback_quill_spray_damage_by_str_hero"	"MULTIPLER BY STRENGTH FOR HEROES:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\bristleback.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\centaur.txt' begin 
"DOTA_Tooltip_ability_centaur_double_edge_edge_damage_pct"			"%DAMAGE FROM STR:"
"DOTA_Tooltip_ability_centaur_hoof_stomp_damage_pct"				"%DAMAGE FROM STR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\centaur.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\chen.txt' begin 
"DOTA_Tooltip_ability_chen_test_of_faith_damage_pct"					"%DAMAGE:"
"DOTA_Tooltip_ability_special_bonus_unique_chen_2"						"+1000 heal from ultimate"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\chen.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\clockwerk.txt' begin 
"DOTA_Tooltip_ability_rattletrap_rocket_flare_damage_pct"			"%DAMAGE OF STRENGTH:"
"DOTA_Tooltip_ability_rattletrap_battery_assault_damage_pct"		"%DAMAGE FROM STRENGTH:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\clockwerk.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\crystal_maiden.txt' begin 
"DOTA_Tooltip_ability_crystal_maiden_freezing_field_damage_pct"		"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\crystal_maiden.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\dark_seer.txt' begin 
"DOTA_Tooltip_ability_dark_seer_vacuum_damage_pct"					"%DAMAGE FROM INTELLECT:"
"DOTA_Tooltip_ability_dark_seer_ion_shell_damage_pct"				"%DAMAGE FROM INTELLECT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\dark_seer.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\dazzle.txt' begin 
"DOTA_Tooltip_ability_dazzle_shadow_wave_heal_pct"						"%HEAL FROM INT:"
"DOTA_Tooltip_ability_dazzle_shadow_wave_damage_pct"					"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\dazzle.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\death_prophet.txt' begin 
"DOTA_Tooltip_ability_death_prophet_exorcism_damage_to_magical"			"%DAMAGE TO MAGICAL DAMAGE:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\death_prophet.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\disruptor.txt' begin 
"DOTA_Tooltip_ability_disruptor_thunder_strike_damage_pct"		"%DAMAGE FROM INT:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\disruptor.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\dragon_knight.txt' begin 
"DOTA_Tooltip_ability_dragon_knight_breathe_fire_damage_pct"		"%DAMAGE FROM STR:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\dragon_knight.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\drow_ranger.txt' begin 
"DOTA_Tooltip_ability_drow_ranger_vengeance_arrow"					"Vengeance Arrow"
"DOTA_Tooltip_ability_drow_ranger_vengeance_arrow_Description"		"Drow Ranger can absorb damage and deal a counter-attack.\n\nOrb-modifiers don't work on counter-attack\n\nCounter-attacks cannot be disabled."
"DOTA_Tooltip_ability_drow_ranger_vengeance_arrow_chance"			"%CHANCE:"
"DOTA_Tooltip_ability_drow_ranger_vengeance_arrow_Note0"			"Skill only works when taking more than 10dmg."
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\drow_ranger.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\earthshaker.txt' begin 
"DOTA_Tooltip_ability_earthshaker_aftershock_damage_from_str"			"STR MULTIPLER:"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\earthshaker.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\earth_spirit.txt' begin 
"DOTA_Tooltip_ability_earth_spirit_boulder_smash_damage_pct"		"%DAMAGE FROM STR:"
"DOTA_Tooltip_Ability_special_bonus_unique_earth_spirit"			"+500 Rolling Boulder Damage"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\earth_spirit.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\faceless_void.txt' begin 
"DOTA_Tooltip_modifier_time_lock_stun_datadriven"					"Bashed"
// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\faceless_void.txt' end

// File 'D:\Games\Steam\steamapps\common\dota 2 beta\Angel Arena\configs\localization\en\heroes\fireblade.txt' begin 
"npc_dota_hero_ember_spirit"											"Fireblade"

"DOTA_Tooltip_ability_fireblade_smoldering"								"Smoldering"
"DOTA_Tooltip_ability_fireblade_smoldering_Description"					"Fireblade restore part of health for this ammount of mana"
"DOTA_Tooltip_ability_fireblade_smoldering_heal_const"					"MANA TO HEALTH:"
"DOTA_Tooltip_ability_fireblade_smoldering_heal_percent"				"%MANA TO HEALTH:"

"DOTA_Tooltip_ability_fireblade_fiery_stream"							"Fiery Stream"
"DOTA_Tooltip_ability_fireblade_fiery_stream_Description"				"Fireblade throws fire stream that deal damage all enemies in front of him. For every hero damaged by this skill Fireblade take bonus damage for a short time."
"DOTA_Tooltip_ability_fireblade_fiery_stream_distantion"				"DISTANTION:"
"DOTA_Tooltip_ability_fireblade_fiery_stream_damage"					"DAMAGE:"
"DOTA_Tooltip_ability_fireblade_fiery_stream_damage_per_hero"			"BONUS DAMAGE:"
"DOTA_Tooltip_ability_fireblade_fiery_stream_buff_duration"				"DURATION:"

"DOTA_Tooltip_ability_fireblade_weapon_ignition"						"Weapon Ignition"
"DOTA_Tooltip_ability_fireblade_weapon_ignition_Description"			"Fireblade ingnites his weapon by own blood. Burning blades deal addiditional damage to enemies and ignites him. Also fireblade change him skill to fireform skills."
"DOTA_Tooltip_ability_fireblade_weapon_ignition_activate_damage"		"ACTIVATE DAMAGE:"
"DOTA_Tooltip_ability_fireblade_weapon_ignition_attack_constant"		"BONUS DAMAGE:"
"DOTA_Tooltip_ability_fireblade_weapon_ignition_burn_damage"			"BURN DAMAGE:"
"DOTA_Tooltip_ability_fireblade_weapon_ignition_burn_duration"			"BURN DURATION:"

"DOTA_Tooltip_ability_fireblade_weapon_quenching"						"Weapon Quenching"
"DOTA_Tooltip_ability_fireblade_weapon_quenching_Description"			"Fireblade puts him blades, lose all bonuses and take him old skills back."
"DOTA_Tooltip_ability_fireblade_weapon_quenching_activate_damage"		"ACTIVATE DAMAGE:"
"DOTA_Tooltip_ability_fireblade_weapon_quenching_attack_constant"		"BONUS DAMAGE:"
"DOTA_Tooltip_ability_fireblade_weapon_quenching_burn_damage"			"BURN DAMAGE:"
"DOTA_Tooltip_ability_fireblade_weapon_quenching_burn_duration"			"BURN DURATION:"

"DOTA_Tooltip_ability_fireblade_firesheild"								"Firesheild"
"DOTA_Tooltip_ability_fireblade_firesheild_Description"					"Fireblade apply sheild on nearby ally that allow consume all damage, until summary damage does not exceed some value."
"DOTA_Tooltip_ability_fireblade_firesheild_block_damage"				"BLOCKED DAMAGE:"
"DOTA_Tooltip_ability_fireblade_firesheild_duration"					"DURATION:"
"DOTA_Tooltip_ability_fireblade_firesheild_radius"						"RADIUS:"

